食材,风味物质及英文名,风味描述
豌豆类,​​(E)-2-庚烯醇([E]-2-heptenal)​​,杏仁味
豌豆类,​​(E)-2-庚烯醇([E]-2-heptenal)​​,果香
豌豆类,​​(E)-2-庚烯醇([E]-2-heptenal)​​,油脂味
豌豆类,​​(E)-2-庚烯醇([E]-2-heptenal)​​,肥皂味
豌豆类,​​(E)-2-庚烯醇([E]-2-heptenal)​​,金属味
墨西哥辣椒,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,天竺葵花香
墨西哥辣椒,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,油脂味
墨西哥辣椒,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,甜椒味
墨西哥辣椒,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,生青味
墨西哥辣椒,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,辛香味
猕猴桃,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,天竺葵花香
猕猴桃,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,油脂味
猕猴桃,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,甜椒味
猕猴桃,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,生青味
猕猴桃,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,辛香味
罗望子,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,天竺葵花香
罗望子,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,油脂味
罗望子,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,甜椒味
罗望子,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,生青味
罗望子,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,辛香味
芹菜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,天竺葵花香
芹菜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,油脂味
芹菜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,甜椒味
芹菜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,生青味
芹菜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,辛香味
莳萝,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,天竺葵花香
莳萝,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,油脂味
莳萝,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,甜椒味
莳萝,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,生青味
莳萝,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,辛香味
莴苣,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,天竺葵花香
莴苣,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,油脂味
莴苣,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,甜椒味
莴苣,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,生青味
莴苣,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,辛香味
萝卜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,天竺葵花香
萝卜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,油脂味
萝卜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,甜椒味
萝卜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,生青味
萝卜,​​(E)-2-己烯-1-醇([E]-2-hexen-1-ol)​​,辛香味
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
小黄瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
无花果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
杏桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
栉瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
栉瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
栉瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
栉瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
栉瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
栉瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
栉瓜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
